EmpID,State,City,Branch,Department,JobRole,Age,AgeGroup,Gender,MaritalStatus,Education,MonthlyIncome,OverTime,BusinessTravel,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,YearsAtCompany,HireDate,Attrition
EMP00001,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Operations,Branch Manager,41,36-45,Female,Single,2,7068,No,Travel_Rarely,19,3,1,4,4,2014-07-18,No
EMP00002,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,HR,HR Executive,38,36-45,Female,Single,1,4018,No,Non-Travel,23,2,4,2,8,2022-09-30,No
EMP00003,Sarawak,Kuching,Kuching Branch 1,Operations,Cashier,20,18-25,Female,Married,2,2115,No,Non-Travel,12,2,2,2,8,2019-10-05,Yes
EMP00004,Penang,George Town,George Town Branch 1,Operations,Assistant Manager,29,26-35,Male,Divorced,4,4571,No,Non-Travel,6,3,2,3,11,2018-04-20,No
EMP00005,Sarawak,Kuching,Kuching Branch 2,Operations,Kitchen Crew,29,26-35,Female,Married,4,2143,No,Non-Travel,7,3,4,2,7,2022-12-28,No
EMP00006,Johor,Johor Bahru,Johor Bahru Branch 1,Operations,Cashier,32,26-35,Female,Divorced,4,2098,No,Travel_Rarely,4,1,3,4,12,2014-06-24,No
EMP00007,Johor,Johor Bahru,Johor Bahru Branch 2,Operations,Kitchen Crew,33,26-35,Male,Single,3,2832,Yes,Non-Travel,12,2,3,2,2,2017-09-28,No
EMP00008,Sarawak,Kuching,Kuching Branch 1,Operations,Cashier,21,18-25,Male,Married,2,1800,No,Non-Travel,12,1,3,3,9,2014-02-26,No
EMP00009,Selangor,Shah Alam,Shah Alam Branch 1,Operations,Kitchen Crew,21,18-25,Male,Single,4,2533,Yes,Travel_Frequently,23,1,2,4,5,2014-08-31,No
EMP00010,Penang,George Town,George Town Branch 2,Operations,Kitchen Crew,36,36-45,Male,Single,3,2004,No,Non-Travel,2,3,3,2,0,2018-06-26,No
EMP00011,Selangor,Shah Alam,Shah Alam Branch 1,Operations,Kitchen Crew,26,26-35,Female,Single,3,2415,No,Travel_Rarely,17,2,1,3,12,2021-07-01,Yes
EMP00012,Penang,George Town,George Town Branch 1,Operations,Cashier,28,26-35,Male,Married,4,2233,No,Non-Travel,7,1,4,1,0,2023-12-18,Yes
EMP00013,Penang,George Town,George Town Branch 2,Operations,Branch Manager,45,36-45,Male,Single,3,6024,No,Non-Travel,17,1,3,3,13,2014-04-24,No
EMP00014,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Operations,Assistant Manager,48,46-60,Male,Single,3,4176,No,Non-Travel,14,3,2,2,7,2019-01-09,No
EMP00015,Sarawak,Kuching,Kuching Branch 2,Operations,Assistant Manager,23,18-25,Female,Single,3,3734,No,Travel_Rarely,22,2,2,3,9,2018-10-04,No
EMP00016,Sarawak,Kuching,Kuching Branch 1,Operations,Assistant Manager,36,36-45,Male,Single,2,4477,No,Travel_Rarely,6,1,2,3,2,2020-08-11,No
EMP00017,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Customer Support,Customer Service,23,18-25,Female,Single,4,2835,No,Travel_Rarely,22,1,3,4,10,2017-03-27,No
EMP00018,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Operations,Branch Manager,29,26-35,Male,Married,5,7477,No,Non-Travel,8,3,2,2,4,2022-07-28,No
EMP00019,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Sales,Sales Executive,33,26-35,Female,Single,4,4217,Yes,Travel_Rarely,23,2,3,1,3,2019-07-11,Yes
EMP00020,Sarawak,Kuching,Kuching Branch 1,Operations,Kitchen Crew,31,26-35,Female,Married,3,2222,No,Non-Travel,12,3,3,3,13,2016-07-19,No
EMP00021,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Operations,Assistant Manager,53,46-60,Male,Single,2,3909,No,Non-Travel,12,1,3,3,6,2020-02-16,Yes
EMP00022,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Sales,Sales Executive,25,18-25,Male,Single,2,3275,No,Travel_Rarely,20,1,2,1,11,2014-02-08,No
EMP00023,Selangor,Shah Alam,Shah Alam Branch 2,Operations,Branch Manager,42,36-45,Male,Married,5,7549,Yes,Travel_Frequently,22,1,4,4,8,2017-04-18,Yes
EMP00024,Sarawak,Kuching,Kuching Branch 1,Operations,Kitchen Crew,26,26-35,Male,Married,5,2183,Yes,Travel_Frequently,13,3,4,1,7,2017-05-18,No
EMP00025,Penang,George Town,George Town Branch 2,Operations,Cashier,27,26-35,Female,Single,3,2343,No,Non-Travel,12,1,3,4,8,2022-08-01,No
EMP00026,Penang,George Town,George Town Branch 2,Sales,Sales Executive,21,18-25,Female,Single,2,2971,No,Travel_Rarely,23,4,1,1,15,2015-01-01,Yes
EMP00027,Selangor,Shah Alam,Shah Alam Branch 1,Operations,Kitchen Crew,46,46-60,Male,Single,2,2288,No,Travel_Rarely,20,2,3,3,1,2023-05-03,No
EMP00028,Sarawak,Kuching,Kuching Branch 1,Operations,Kitchen Crew,43,36-45,Female,Married,1,2389,No,Non-Travel,15,4,1,3,11,2016-11-07,No
EMP00029,Sarawak,Kuching,Kuching Branch 2,Operations,Assistant Manager,19,18-25,Female,Married,2,4098,No,Non-Travel,11,1,3,4,10,2021-01-21,Yes
EMP00030,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Operations,Delivery Rider,37,36-45,Male,Single,1,2275,Yes,Travel_Frequently,19,1,4,1,1,2017-06-01,No
EMP00031,Sarawak,Kuching,Kuching Branch 2,Operations,Kitchen Crew,26,26-35,Female,Single,3,1877,Yes,Non-Travel,7,4,2,3,8,2023-04-15,No
EMP00032,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Customer Support,Customer Service,25,18-25,Female,Married,2,3158,No,Non-Travel,20,2,1,4,14,2014-08-21,No
EMP00033,Penang,George Town,George Town Branch 2,Operations,Cashier,29,26-35,Female,Married,3,2271,No,Travel_Rarely,2,4,1,1,3,2019-10-29,No
EMP00034,Penang,George Town,George Town Branch 1,Sales,Sales Executive,38,36-45,Male,Married,3,4320,Yes,Travel_Rarely,23,1,4,2,7,2017-01-20,Yes
EMP00035,Selangor,Shah Alam,Shah Alam Branch 2,Operations,Kitchen Crew,55,46-60,Male,Married,4,2478,No,Travel_Rarely,1,2,2,1,14,2018-11-17,No
