TransactionID,Date,State,City,Branch,Region,Product,Quantity,Unit Price,Total Sale,Employee,Channel,PaymentMethod
TXN0000001,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 1,Selangor,Fries,3,5.9,17.7,SalesRep_05,Dine-in,Cash
TXN0000002,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 1,Selangor,Fries,2,5.9,11.8,SalesRep_05,Dine-in,Card
TXN0000003,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 1,Selangor,Cheese Burger,3,13.9,41.7,SalesRep_06,Dine-in,Card
TXN0000004,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 1,Selangor,Fries,1,5.9,5.9,SalesRep_02,Takeaway,Card
TXN0000005,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 1,Selangor,Fries,3,5.9,17.7,SalesRep_11,Dine-in,eWallet
TXN0000006,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 1,Selangor,Chicken Burger,2,10.9,21.8,SalesRep_10,Takeaway,eWallet
TXN0000007,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 1,Selangor,Fries,1,5.9,5.9,SalesRep_07,Takeaway,Cash
TXN0000008,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 1,Selangor,Chicken Burger,2,10.9,21.8,SalesRep_08,Takeaway,eWallet
TXN0000009,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 1,Selangor,Veggie Burger,2,11.9,23.8,SalesRep_02,Dine-in,Cash
TXN0000010,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 1,Selangor,Cheese Burger,2,13.9,27.8,SalesRep_04,Delivery,Card
TXN0000011,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Chicken Burger,2,10.9,21.8,SalesRep_12,Takeaway,eWallet
TXN0000012,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Fries,1,5.9,5.9,SalesRep_05,Takeaway,Cash
TXN0000013,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Chicken Burger,2,10.9,21.8,SalesRep_10,Dine-in,Cash
TXN0000014,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Spicy Burger,3,14.9,44.7,SalesRep_06,Dine-in,Card
TXN0000015,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Beef Burger,3,12.9,38.7,SalesRep_08,Dine-in,Cash
TXN0000016,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Soft Drink,2,3.9,7.8,SalesRep_06,Dine-in,eWallet
TXN0000017,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Fries,3,5.9,17.7,SalesRep_10,Dine-in,Cash
TXN0000018,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Soft Drink,2,3.9,7.8,SalesRep_09,Dine-in,eWallet
TXN0000019,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Chicken Burger,1,10.9,10.9,SalesRep_01,Takeaway,Card
TXN0000020,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Veggie Burger,3,11.9,35.7,SalesRep_02,Dine-in,Card
TXN0000021,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Chicken Burger,2,10.9,21.8,SalesRep_03,Dine-in,Cash
TXN0000022,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Veggie Burger,1,11.9,11.9,SalesRep_04,Takeaway,Card
TXN0000023,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Veggie Burger,3,11.3,33.9,SalesRep_12,Dine-in,eWallet
TXN0000024,2024-01-01,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Chicken Burger,1,10.9,10.9,SalesRep_06,Delivery,eWallet
TXN0000025,2024-01-01,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Cheese Burger,3,13.9,41.7,SalesRep_04,Takeaway,Card
TXN0000026,2024-01-01,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Chicken Burger,2,10.9,21.8,SalesRep_10,Dine-in,eWallet
TXN0000027,2024-01-01,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Chicken Burger,2,10.9,21.8,SalesRep_09,Takeaway,eWallet
TXN0000028,2024-01-01,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Fries,1,5.9,5.9,SalesRep_02,Dine-in,Cash
TXN0000029,2024-01-01,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Spicy Burger,2,14.9,29.8,SalesRep_05,Takeaway,Card
